date,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BZD,CAD,CDF,CHF,CLF,CLP,CNH,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRO,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,SSP,STD,STN,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VES,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPD,XPF,XPT,YER,ZAR,ZMW,ZWL,
2021-01-01,4.472422,94.449943,123.368069,636.685742,2.185169,796.493364,103.63501,1.582674,2.191647,2.072933,1.949636,2.435164,103.046945,1.949606,0.459042,2364.477522,1.217582,1.616963,8.424536,6.32339,1.217582,4.2e-05,89.405566,13.153363,3.180638,2.453828,1.549988,2399.903055,1.083648,0.031352,865.091185,7.920407,7.954462,4214.629571,743.060884,1.217344,31.352733,110.252039,26.141728,217.827986,7.418605,70.835573,160.806515,19.289668,18.265497,48.157705,1,2.482893,0.890501,0.890501,3.999756,0.890501,7.182582,0.890501,63.01595,12178.011244,9.489133,254.683164,9.440217,29.466961,7.523925,88.421307,361.524413,17306.33447,3.912115,0.890501,88.995799,1787.687589,51266.285158,155.61914,0.890501,174.079674,0.863266,125.70313,133.617436,101.26611,4940.895282,490.685763,1095.823694,1321.965177,0.370321,1.014437,513.03975,11373.517093,1850.128918,226.673353,199.967494,17.875369,1.6369,10.869469,21.026501,4786.799887,61.419879,1624.951197,3473.265872,9.720523,434.676732,44.052113,48.337483,18.750762,943.205841,24.208206,4.931815,91.087301,17.886278,483.015352,42.46162,10.511397,143.048552,1.719329,0.46874,1.217582,4.429428,4.309349,58.856565,196.022004,4.570522,8463.499866,4.43352,4.84975,117.192256,90.034092,1206.396201,4.567251,9.743149,25.818261,67.240959,10.068538,1.609175,0.890501,12296.939401,707.851393,17.233654,158.602216,24826.491483,24.747352,10.652131,625.130416,17.871342,36.765254,13.789357,4.261537,3.280774,2.768886,9.057835,8.273815,34.176307,2823.008645,34.670956,4450.581176,1.217582,51.577855,12753.920951,1345945.820654,28423.963319,133.00853,3.065913,655.957,0.046147,0.000641,3.290576,0.847493,655.957,0.000495,119.331742,0.001135,304.892667,17.85291,25.771095,392.061366,,
2021-01-02,4.457428,94.133291,122.954466,634.551192,2.177843,793.823043,103.287564,1.577368,2.1843,2.065983,1.9431,2.427,102.70147,1.94307,0.457503,2356.550382,1.2135,1.611542,8.396292,6.30219,1.2135,3.8e-05,89.105825,13.109266,3.169975,2.445601,1.544791,2391.857148,1.080106,0.031247,862.190883,7.893853,7.927794,4200.499618,740.5697,1.213263,31.24762,109.882409,26.054085,217.097697,7.393733,70.59809,160.267396,19.224997,18.204261,47.996251,1,2.474569,0.887515,0.887515,3.986347,0.887515,7.158501,0.887515,62.804683,12137.183284,9.45732,253.829314,9.408567,29.36817,7.498701,88.124866,360.312367,17248.313311,3.898999,0.887515,88.697432,1781.694194,51225.935374,155.097412,0.887515,173.496056,0.860371,125.281698,133.16947,100.926605,4924.330453,489.040691,1092.149839,1317.533161,0.369079,1.011036,511.319735,11335.386278,1843.926182,225.913409,199.297084,17.81544,1.631412,10.833028,20.956008,4770.751678,61.213963,1619.503391,3463.554545,9.687934,433.219436,43.904424,48.175427,18.687898,940.043652,24.127046,4.915281,90.781922,17.826312,481.395997,42.319263,10.476156,142.568968,1.713565,0.467168,1.2135,4.414578,4.294901,58.659243,195.364821,4.555199,8435.125165,4.418656,4.833491,116.799358,89.732244,1202.351641,4.551939,9.710484,25.731702,67.015528,10.034782,1.60378,0.887515,12255.712723,705.478252,17.175876,158.070487,24743.258271,24.664384,10.616418,623.034599,17.811427,36.611952,13.743127,4.247249,3.269775,2.759603,9.027468,8.246076,34.061727,2813.544236,34.554719,4435.660173,1.2135,51.404935,12711.162199,1341433.407229,28328.669235,132.213253,3.078403,655.957,0.045992,0.000639,3.279544,0.844652,655.957,0.000494,119.331742,0.001131,303.870485,17.793056,25.684695,390.746943,,
2021-01-03,4.49353,94.901942,123.958458,639.732656,2.206934,800.305051,103.288762,1.589763,2.202136,2.082853,1.958966,2.446817,104.074129,1.959518,0.461238,2385.521653,1.223409,1.624701,8.464853,6.364588,1.223409,3.7e-05,89.833424,13.284369,3.212343,2.478268,1.557791,2423.88208,1.081449,0.031502,869.231663,7.947214,7.992529,4200.564252,750.461009,1.229468,31.502775,110.77966,26.242438,218.870422,7.441351,71.481442,161.576068,19.225216,18.352729,48.388167,1,2.494775,0.895456,0.895456,4.015601,0.895456,7.216954,0.895456,63.262465,12288.645053,9.583644,257.221757,9.485125,29.64346,7.560218,89.30198,363.491248,17246.498612,3.928517,0.895456,89.41529,1796.242721,51511.62434,156.357061,0.895456,175.813448,0.867397,126.278719,134.257248,101.755989,4964.540358,493.033981,1101.067852,1330.134712,0.372093,1.02454,518.149629,11427.946029,1858.982868,227.758118,200.924456,18.042388,1.644733,10.921486,21.027262,4753.798514,61.713805,1632.72754,3492.267136,9.817418,436.756915,44.875848,48.569068,18.840428,947.719633,24.356783,4.921162,91.523207,17.971874,475.845135,42.846599,10.467396,143.733109,1.701684,0.470979,1.223409,4.450625,4.3722,58.652176,196.960084,4.561864,8504.002667,4.476467,4.867968,117.75309,90.665393,1218.410606,4.58971,9.789777,25.941703,67.593332,10.044809,1.617786,0.895456,12355.786761,711.238876,17.316127,159.36122,24945.300777,24.774027,10.758224,627.498086,18.039281,36.642261,13.926697,4.281931,3.294192,2.784668,9.104975,8.31341,34.33986,2845.280414,34.836877,4494.892907,1.223409,51.830267,12880.893874,1310891.749408,28331.854948,133.290292,3.103672,655.957,0.046347,0.000647,3.306323,0.851549,655.957,0.000498,119.331742,0.00114,306.351757,17.942145,26.027771,393.937609,,
2021-01-04,4.499676,94.823144,123.391451,641.10506,2.197953,696.071643,103.755782,1.597491,2.205109,2.083651,1.94815,2.450121,103.843543,1.954713,0.461802,2379.238204,1.225061,1.612908,8.430666,6.489393,1.225061,3.9e-05,89.415836,13.173875,,2.46829,1.566076,2413.971857,1.079449,0.031269,862.810044,7.907473,7.915852,4206.810747,747.470862,,31.545313,110.408597,26.183569,217.992469,7.439977,71.259027,161.93178,19.281966,18.377529,48.02238,1,2.500141,0.902404,0.902404,4.03045,0.902404,7.187824,0.902404,63.396892,12443.888946,9.54505,255.958931,9.498583,29.659677,7.561932,,361.916548,17075.753754,3.931122,0.902404,89.53411,1787.762017,51581.181303,156.097236,0.902404,174.432222,0.868568,126.335436,133.864174,101.888406,4957.995327,492.74996,1102.554641,1330.856956,0.372522,1.020378,516.055357,11376.979552,1853.483338,228.981058,201.400026,17.858646,1.636231,10.849258,21.021623,4783.903732,61.373063,1626.133299,3494.241872,9.777656,437.346464,44.969822,48.267566,18.878185,947.088832,24.457142,4.908206,,17.885886,473.013617,42.792225,10.478025,143.069852,1.708281,0.471612,1.225061,4.434993,4.354711,58.894794,196.143027,4.556825,8469.670067,4.460056,4.870229,117.556826,90.082389,1213.505951,4.596005,9.85823,25.975979,,10.101033,1.616817,0.902404,12372.471193,710.9799,,159.576408,24978.984812,,10.713765,628.263274,17.865631,36.638503,13.870521,4.299963,3.291738,2.785271,9.095972,8.27986,34.409504,2839.88259,,4506.092413,1.225061,51.867459,12800.097239,1354213.415058,28370.111901,133.823482,3.086147,655.957,0.044978,0.000631,3.310788,0.850199,655.957,0.000514,119.331742,0.001129,306.693901,18.031748,,394.469549,,
2021-01-05,4.516622,95.262511,123.858943,642.274958,2.209871,806.074541,104.271687,1.585754,2.213426,2.091448,1.960328,2.459363,104.407632,1.95461,0.463587,2390.520289,1.229681,1.623324,8.476448,6.500095,1.229681,3.6e-05,90.160359,13.396637,3.180898,2.481593,1.558553,2425.026431,1.080174,0.031013,855.73714,7.915883,7.939191,4237.145093,753.578783,1.235772,31.664294,111.101706,26.152634,219.127267,7.43947,71.621363,162.613693,19.302184,18.446759,48.293944,1,2.49281,0.902673,0.902673,4.057948,0.902673,7.216024,0.902673,63.574523,12603.754714,9.596818,257.450724,9.534014,29.800765,7.561679,88.967119,359.467779,17099.879368,3.939616,0.902673,89.941033,1797.3539,51775.731355,156.095745,0.902673,174.62665,0.871844,126.309892,134.623519,102.315361,4986.223874,493.286778,1106.713175,1336.91542,0.37328,1.025954,518.980791,11437.555402,1861.40794,232.071702,203.081834,18.210217,4.318884,10.855511,21.128476,4780.766031,61.756692,1625.733145,3509.344165,9.831256,438.996014,44.868623,48.44944,18.937093,948.422849,24.446064,4.940245,92.176901,18.457516,477.497497,42.924372,10.411877,144.256983,1.696089,0.473351,1.229681,4.462824,4.328771,59.172264,197.569259,4.535808,8517.322705,4.47727,4.871505,117.575978,91.205585,1209.187929,4.612177,9.857171,26.073784,68.001376,10.061826,1.620264,0.902673,12427.435473,713.11771,17.404909,160.178287,25073.198683,24.716594,10.772716,630.643352,18.382882,36.811125,13.945897,4.303885,3.296161,2.797684,9.088978,8.36389,34.390496,2855.03542,34.847936,4549.115798,1.229681,52.023549,12866.216379,1367705.107074,28362.243231,133.926776,3.10528,655.957,0.04461,0.000631,3.323275,0.852738,655.957,0.000498,119.331742,0.001102,307.942906,18.430562,26.084947,395.95738,,
2021-01-06,4.528255,95.237597,123.714735,644.418521,2.211424,808.913035,104.673334,1.579773,2.219129,2.096836,1.953009,2.465698,104.465739,1.955545,0.464813,2394.112694,1.232849,1.621671,8.469834,6.55247,1.232849,3.4e-05,89.992529,13.420324,3.172118,2.483313,1.562933,2428.95886,1.08329,0.031119,858.679653,7.950478,7.966425,4249.37527,753.40836,1.232849,31.745867,111.264639,26.220298,219.363116,7.439641,71.691982,163.039423,19.353267,18.494454,48.480261,1,2.501118,0.905747,0.905747,4.080731,0.905747,7.228819,0.905747,63.738303,12530.432776,9.603306,257.829663,9.558468,30.676988,7.561187,89.442514,358.90493,17090.873872,3.928554,0.905747,90.170156,1800.437592,51909.114964,156.103364,0.905747,175.008606,0.87409,127.065839,134.915258,102.578945,5003.746989,493.324208,1109.564267,1341.096999,0.374028,1.026625,516.434017,11453.925751,1866.086534,232.22829,205.207676,18.289214,39.378843,10.848876,21.182078,4684.807927,61.526127,1623.131718,3502.634332,9.838768,440.126947,44.721114,48.514296,18.998206,949.778564,24.231731,4.944342,92.136993,18.55438,478.727393,42.995829,10.365834,143.988186,1.690906,0.474607,1.232849,4.471338,4.36205,59.324908,197.776262,4.5237,8474.612908,4.488804,4.87111,117.589155,91.13591,1214.718308,4.624494,9.903841,26.142316,68.145739,10.065653,1.625185,0.905747,12452.053827,715.10584,17.449747,160.590935,25250.63855,24.903554,10.779517,632.274308,18.496664,36.894861,13.955142,4.327301,3.304652,2.79281,9.006358,8.369578,34.554297,2857.917513,34.826893,4552.168344,1.232849,52.056011,12899.522423,1362822.684059,28491.084518,134.238504,3.0983,655.957,0.045148,0.000643,3.331837,0.85019,655.957,0.000504,119.331742,0.001116,308.705416,18.566478,26.096204,396.977438,,
2021-01-07,4.505274,94.684871,123.706455,641.212422,2.202258,797.21119,104.172617,1.580399,2.207866,2.086194,1.957749,2.453184,104.034802,1.955618,0.462403,2382.82044,1.226592,1.625806,8.447078,6.636353,1.226592,3.1e-05,89.686587,13.512141,3.158996,2.473023,1.556327,2418.29439,1.085955,0.031686,874.313576,7.935124,7.946108,4185.276736,750.294766,1.226592,31.584743,110.847117,26.218158,218.397939,7.439358,71.410474,162.168936,19.258107,18.398361,48.286427,1,2.490104,0.904273,0.904273,4.060019,0.904273,7.191312,0.904273,63.427071,12489.090888,9.560569,256.76172,9.510577,29.722496,7.566723,89.972162,359.453069,17348.916929,3.903911,0.904273,90.14622,1791.809938,51645.65521,155.29881,0.904273,175.222287,0.869654,127.383417,134.392557,101.965556,4973.096838,492.660841,1103.93278,1341.940045,0.372138,1.022394,514.293752,11402.408643,1858.938951,230.656751,204.687522,18.607344,5.44647,10.820959,21.038652,4621.713665,61.675441,1628.707322,3495.576199,9.797181,437.893125,44.627175,48.330275,18.889517,949.693501,24.553938,4.955432,91.681627,18.460209,477.619283,42.831334,10.348311,143.499781,1.690914,0.472197,1.226592,4.446848,4.344908,59.008968,196.786973,4.518626,8395.514606,4.466328,4.867731,117.581107,91.692043,1207.959661,4.600777,9.894445,26.00983,67.830536,10.049978,1.624566,0.904273,12547.993606,712.899544,17.361183,159.775871,25121.974126,24.378516,10.73552,629.048827,18.63659,36.886687,13.897518,4.305338,3.301372,2.772986,9.005301,8.336169,34.382599,2845.149657,34.686691,4533.325306,1.226592,51.920142,12831.515238,1441242.254484,28287.633752,132.062216,3.065696,655.957,0.045199,0.000641,3.314926,0.848118,655.957,0.000506,119.331742,0.001095,307.077383,18.934416,25.997776,394.962617,,
2021-01-08,4.488316,94.336498,123.786105,639.088411,2.193445,798.866398,103.969589,1.573443,2.199556,2.078342,1.950889,2.443951,103.56724,1.955729,0.460672,2379.797032,1.221975,1.618275,8.413293,6.620663,1.221975,3e-05,89.524522,13.435774,3.133764,2.463162,1.550577,2407.291478,1.081871,0.031536,870.170001,7.898604,7.912779,4273.672358,750.170333,1.221975,31.465866,110.588771,26.168419,217.55744,7.436759,71.210615,161.526651,19.175767,18.329255,48.084731,1,2.49894,0.900763,0.900763,4.044738,0.900763,7.160776,0.900763,63.176127,12525.247539,9.522285,255.802115,9.47813,29.632901,7.571237,89.340743,359.444055,17275.004702,3.889462,0.900763,89.667819,1787.138978,51451.272938,156.681682,0.900763,174.447351,0.866014,127.018264,133.867402,101.581779,4955.110124,491.723079,1099.777833,1335.631299,0.370781,1.018321,512.482316,11370.480814,1867.344578,229.728511,204.13099,18.708443,5.425571,10.802262,20.915394,4634.952577,61.459358,1622.150124,3482.628079,9.759225,436.244997,44.418805,48.119341,18.824531,947.030911,24.451727,4.927616,91.189927,18.708443,468.627554,42.799687,10.295686,143.23891,1.687467,0.470426,1.221975,4.425995,4.295243,58.723797,195.821553,4.509995,8380.277193,4.449212,4.870305,117.5968,90.528334,1191.425985,4.584782,9.840838,25.912357,67.514139,10.072621,1.619673,0.900763,12502.598792,712.41164,17.295839,159.174512,25027.42084,24.28676,10.69292,626.688208,18.708443,36.8002,13.841946,4.276914,3.290169,2.766908,9.001559,8.304968,34.237306,2833.773102,34.547909,4522.570788,1.221975,51.928712,12781.862366,1505617.482627,28269.288141,131.708193,3.050534,655.957,0.048062,0.000661,3.30245,0.844255,655.957,0.000514,119.331742,0.001145,305.982613,18.695795,25.933524,393.476069,,
2021-01-09,4.490242,94.376983,123.759992,639.444303,2.199,799.209238,104.045563,1.575386,2.2005,2.079234,1.95583,2.445,103.831169,1.954706,0.4607,2377.643302,1.2225,1.6224,8.434598,6.620399,1.2225,3e-05,89.752689,13.469798,3.1417,2.469399,1.551242,2408.324588,1.082591,0.031549,870.117632,7.901994,7.916175,4275.499252,752.069194,1.2225,31.47937,110.636231,26.173904,218.089993,7.439681,71.335978,161.622514,19.193247,18.337235,48.27549,1,2.462298,0.901183,0.901183,4.046474,0.901183,7.178899,0.901183,63.203239,12575.629148,9.546398,256.449974,9.482197,29.521994,7.574486,89.566991,359.610538,17280.462418,3.891131,0.901183,89.705079,1788.608261,51468.622833,156.748923,0.901183,174.891953,0.866386,127.076408,134.206983,101.625377,4978.700849,491.934106,1100.249812,1336.204496,0.37094,1.0209,513.779831,11388.238232,1852.297236,230.314057,204.218595,18.658296,5.429399,10.806598,20.967797,4672.444198,61.614984,1626.286665,3487.212733,9.784098,436.432215,44.437867,48.139992,18.83261,944.783749,24.461426,4.92973,91.229062,18.716472,484.51967,42.818055,10.295526,143.603952,1.687487,0.470626,1.2225,4.437199,4.310799,58.77779,196.318278,4.513164,8401.678908,4.451122,4.872395,117.647267,90.567186,1214.330807,4.586537,9.845061,25.923478,67.543113,10.078398,1.620937,0.901183,12562.36568,708.700413,17.303262,159.242823,25038.161572,24.297183,10.719998,626.952278,18.652397,36.841381,13.876998,4.278749,3.291581,2.768096,9.017403,8.325999,34.251999,2840.956487,34.635394,4534.007649,1.2225,51.950997,12787.347812,1506263.631245,28258.99526,131.519476,3.073511,655.957,0.048083,0.000661,3.303867,0.846761,655.957,0.000515,119.331742,0.001145,306.113928,18.708458,25.999195,393.644933,,
2021-01-10,4.487551,94.341478,123.701487,639.117206,2.197679,798.729154,104.025616,1.575315,2.199178,2.077985,1.954655,2.443531,103.768798,1.954367,0.461415,2378.682329,1.221765,1.621425,8.429532,6.620319,1.221765,3.2e-05,89.698774,13.461707,3.139813,2.467916,1.551759,2411.025319,1.082412,0.031649,873.297875,7.898237,7.911481,4274.659378,751.617427,1.221765,31.46046,110.569772,26.16051,217.874256,7.436835,71.274178,161.772471,19.230008,18.32622,48.200269,1,2.468357,0.901028,0.901028,4.044044,0.901028,7.171579,0.901028,63.165273,12559.07913,9.540664,256.295925,9.474925,29.52897,7.567194,89.513188,359.465223,17172.307209,3.888491,0.901028,89.624254,1787.393467,51442.433703,155.882248,0.901028,174.786895,0.865865,126.984802,134.069973,101.564331,4971.419888,491.638601,1099.588893,1335.401327,0.371135,1.020287,513.471204,11378.823341,1852.11999,230.175707,204.095921,18.676158,5.425838,10.800166,20.946521,4662.541232,61.57797,1625.309756,3484.91721,9.778221,436.170051,44.503493,48.17137,18.839623,944.746618,24.448016,4.926769,91.357514,18.705229,478.533085,42.693146,10.311703,143.517689,1.691215,0.470987,1.221765,4.432674,4.305469,58.745659,196.117862,4.512085,8396.632029,4.455819,4.860221,117.576597,90.647636,1209.125348,4.582876,9.823805,26.511666,67.50254,10.068581,1.620366,0.901028,12554.819481,709.880518,17.292868,159.147166,25023.121175,24.282588,10.713559,626.555305,18.654,36.755039,13.868662,4.276179,3.289603,2.766433,8.991662,8.320997,34.239319,2838.057195,34.614589,4531.284076,1.221765,51.830441,12801.313707,1505358.820299,28254.532334,131.440488,3.071665,655.957,0.048042,0.00066,3.301882,0.846252,655.957,0.000514,119.331742,0.001144,305.930045,18.701747,25.983578,393.408471,,
